ID,Col,DayOfWeek,Date,Time,Col,TeamLocal,RedCardLocal,Col,TeamVisit,RedCardVisit,ScoreTeamLocal,ScoreTeamVisit,HalfTimeScore,Col,Col,Col,Col,Col,Col,Col,Col,Season,Col,Col,Col,Col
1314938,1,Friday, Oct 19 2018,23:00,895,Velez Sarsfield,0,896,Gimnasia LP,1,1,0,0 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314906,1,Saturday, Oct 20 2018,01:15,891,Colon,0,905,River Plate,0,1,0,0 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314944,1,Saturday, Oct 20 2018,17:15,3802,Godoy Cruz,0,6145,Aldosivi,0,2,0,0 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314935,1,Saturday, Oct 20 2018,19:30,899,Lanus,0,9310,Patronato de Parana,0,3,1,1 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314902,1,Saturday, Oct 20 2018,21:45,889,Boca Juniors,0,903,Rosario Central,1,0,0,0 : 0,1,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314908,1,Sunday, Oct 21 2018,00:00,902,Newells Old Boys,0,4735,Tigre,0,2,0,1 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314904,1,Sunday, Oct 21 2018,17:15,901,Estudiantes,1,6148,Atletico Tucuman,0,1,1,0 : 0,1,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314903,1,Sunday, Oct 21 2018,19:30,907,Argentinos Juniors,0,892,Union,0,0,1,0 : 1,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314932,1,Sunday, Oct 21 2018,21:45,897,Independiente,0,898,Huracan,0,3,1,1 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314941,1,Monday, Oct 22 2018,00:00,5595,San Martin de Tucuman,1,890,Racing Club,0,2,1,0 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314926,1,Monday, Oct 22 2018,23:00,894,Belgrano,0,1303,Banfield,0,1,1,1 : 0,1,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314929,1,Tuesday, Oct 23 2018,01:00,906,San Lorenzo,0,4736,San Martin San Juan,0,2,1,1 : 1,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314878,1,Wednesday, Oct 24 2018,23:30,901,Estudiantes,0,902,Newells Old Boys,1,1,0,0 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314927,1,Friday, Oct 26 2018,23:00,4735,Tigre,0,899,Lanus,0,1,1,0 : 0,1,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314922,1,Saturday, Oct 27 2018,01:00,898,Huracan,1,891,Colon,0,3,2,0 : 2,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314910,1,Saturday, Oct 27 2018,19:00,905,River Plate,1,6145,Aldosivi,1,1,0,0 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314924,1,Saturday, Oct 27 2018,21:15,896,Gimnasia LP,0,889,Boca Juniors,0,2,1,1 : 1,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314920,1,Sunday, Oct 28 2018,00:30,893,Talleres,0,5595,San Martin de Tucuman,0,0,0,0 : 0,0,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314939,1,Sunday, Oct 28 2018,00:30,892,Union,0,3802,Godoy Cruz,0,0,3,0 : 1,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314912,1,Sunday, Oct 28 2018,14:00,890,Racing Club,0,906,San Lorenzo,0,2,1,0 : 1,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314918,1,Sunday, Oct 28 2018,16:15,9310,Patronato de Parana,0,903,Rosario Central,0,2,1,1 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314916,1,Sunday, Oct 28 2018,18:30,895,Velez Sarsfield,0,894,Belgrano,1,1,0,0 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314914,1,Sunday, Oct 28 2018,20:45,1303,Banfield,0,901,Estudiantes,0,0,2,0 : 0,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314933,1,Sunday, Oct 28 2018,23:00,6148,Atletico Tucuman,0,897,Independiente,1,4,2,2 : 1,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314930,1,Monday, Oct 29 2018,22:00,902,Newells Old Boys,0,907,Argentinos Juniors,1,2,0,1 : 0,1,1,FT,1,0,1,1,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314936,1,Tuesday, Oct 30 2018,00:00,4736,San Martin San Juan,0,6147,Defensa y Justicia,0,0,1,0 : 0,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314909,1,Friday, Nov 2 2018,22:00,894,Belgrano,0,896,Gimnasia LP,0,2,0,1 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314907,1,Saturday, Nov 3 2018,00:00,892,Union,0,9310,Patronato de Parana,0,2,2,1 : 1,1,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314945,1,Saturday, Nov 3 2018,16:15,6145,Aldosivi,0,1303,Banfield,0,1,4,0 : 3,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314921,1,Saturday, Nov 3 2018,18:30,3802,Godoy Cruz,1,6148,Atletico Tucuman,0,1,0,1 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314915,1,Saturday, Nov 3 2018,20:45,901,Estudiantes,0,905,River Plate,0,1,0,0 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314942,1,Saturday, Nov 3 2018,23:00,889,Boca Juniors,0,4735,Tigre,0,4,1,1 : 1,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314913,1,Sunday, Nov 4 2018,14:00,907,Argentinos Juniors,0,897,Independiente,0,0,2,0 : 1,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314923,1,Sunday, Nov 4 2018,16:15,903,Rosario Central,0,891,Colon,0,1,1,0 : 1,1,1,FT,0,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314911,1,Sunday, Nov 4 2018,18:30,906,San Lorenzo,0,893,Talleres,1,0,1,0 : 1,1,1,FT,2,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314948,1,Sunday, Nov 4 2018,20:45,890,Racing Club,0,902,Newells Old Boys,0,1,0,1 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
1314919,1,Sunday, Nov 4 2018,23:00,5595,San Martin de Tucuman,0,4736,San Martin San Juan,0,2,0,0 : 0,1,1,FT,1,0,1,0,0,2018/2019,Primera División,Argentina,Argentina,Argentina
